"uebermaeßig","","bombastisch horrend gepfeffert (ugs.) ueppig"
"vor der Operation","","praeoperativ (fachspr.)"
"starr vor Schmerz","","wie betaeubt vor Schmerz"
"Sonnenuntergang","","Abendroete Abendrot Abenddaemmerung"
"Dorfmatratze (derb)","","Gunstgewerblerin (scherzhaft) Straßendirne Liebesmaedchen Musche (ugs.) Nutte (derb) Liebesdame Bordsteinschwalbe (ugs.) Edelnutte (derb) Hure (derb) Escort Sexdienstleisterin Entspannungsdame (geh., verhuellend) Callgirl Straßenprostituierte Liebesdienerin Kokotte (veraltet) eine, die das aelteste Gewerbe der Welt betreibt (ugs.) Sexarbeiterin (fachspr.) Hetaere (geh.) Freudenmaedchen eine, die es fuer Geld macht (ugs.) Kurtisane Metze (geh., historisch) Frau fuer spezielle Dienstleistungen Strichmaedchen (ugs.) Professionelle (ugs.) Prostituierte (Hauptform) Straßenmaedchen (ugs.) Hartgeldnutte (derb) Lusche (ugs., regional) Horizontale (ugs.) Escortgirl Dirne gefallenes Maedchen (altertuemelnd)"
"Kontoklassifikation","","Kontengliederung"
"Jagdfalke","","Gerfalke"
"abheilen","","verheilen"
"Schale","","Schuessel Napf Terrine"
"Umsatz","","Umsatzvolumen Umschlag"
"Basis","","Lager Stuetzpunkt"
"(Preise) anheben","","verteuern (Preise) erhoehen"
"eingeben","","einreichen einhaendigen"
"ausrollen","","auswalzen auswalken"
"Aktienzertifikat","","Aktienurkunde"
"Einordnung","","Kategorisierung Klassifikation Klassifizierung Einteilung Verortung"
"Aufmarschieren in Linie","","Errichten Aufstellen"
"Check-in","","Abfertigung"
"Beruhigungsmittel","","Tranquilizer (fachspr.) Sedativ (fachspr.) Sedativum (fachspr.)"
"Ovariektomie (fachspr.)","","Entfernung eines Eierstockes Ovarektomie (fachspr.) Oophorektomie (fachspr.)"
"Zeilenanordnung","","Seitenformat"
"Verlangsamung","","Entschleunigung Verzoegerung"
"Flaschner (veraltet)","","Spengler (bair., oesterr.) Klempner Rohrverleger Installateur"
"Ankerplatz","","Reede Liegeplatz"
"Mannschaft","","Besatzung Crew"
"Seelenverwandtschaft","","Verbundenheit Naehe Gemeinschaft Vertrautheit Familiaritaet (geh.)"
"Perfusion","","Durchstroemung Pumpen"
"Bildung von roten Blutkoerperchen","","Erythrogenese (fachspr.) Erythropoese (fachspr.) Erythrozytogenese (fachspr.) Erythrozytopoese (fachspr.)"
"Schritt","","Schrittgeschwindigkeit Schritttempo"
"Lumbago (fachspr.)","","lokales Lumbalsyndrom Hexenschuss"
"Schererei (ugs.)","","Aergernis Plage"
"Zuckerharnruhr","","Harnruhr Zucker (ugs.) Diabetes Zuckerkrankheit Diabetes mellitus (fachspr.)"
"Edukt","","biologische Vorstufe Ausgangsstoff Praekursor (fachspr.) Vorlaeufer Grundstoff"
"erreichbar","","verbunden ansprechbar (Geraet) angeschlossen zugreifbar online zugaenglich"
"Basisregister","","Basisadressregister"
"zungenfertig","","wortgewandt flinkzuengig (geh., selten) keine Antwort schuldig bleiben mit flinker Zunge spritzig mundfertig (immer) die passende Antwort (parat) haben geistesgegenwaertig (jemandem) nichts schuldig bleiben nie um eine Antwort (verlegen)sein schlagfertig (Hauptform) nicht auf den Mund gefallen (ugs.)"
"Mittel gegen Erbrechen","","Antiemetikum (fachspr.)"
"idiosynkratisch","","eigenartig eigentuemlich eigen originell besonders ausgefallen"
"ausfuehren","","exportieren"
"unbeaufsichtigt","","unbewacht"
